순위,곡명,가수,앨범,좋아요
83,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,182236
84,봄날,방탄소년단,YOU NEVER WALK ALONE,551223
85,Permission to Dance,방탄소년단,Butter / Permission to Dance,213492
86,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',52161
87,Yet To Come,방탄소년단,Proof,115705
88,아버지,임영웅,IM HERO,43662
89,질주 (2 Baddies),NCT 127,질주 (2 Baddies) - The 4th Album,47325
90,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2,62947
91,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,392354
92,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3,185270
93,A bientot,임영웅,IM HERO,42099
94,Ready For Love,BLACKPINK,BORN PINK,31177
95,HOT,세븐틴,SEVENTEEN 4th Album 'Face the Sun',93752
96,손이 참 곱던 그대,임영웅,IM HERO,41006
97,인생찬가,임영웅,IM HERO,41210
98,사랑해 진짜,임영웅,IM HERO,41713
99,가을밤에 든 생각,잔나비,잔나비 소곡집 l,109299
100,팡파레,다비치,Season Note,37532
